date,user_name,text
2010-08-19 18:35:00,realDonaldTrump,The original Apprentice returns with a two hour premiere on Thursday September 16th. Looking forward to a fantastic season!
2010-08-19 19:15:00,realDonaldTrump,Four more days until the Miss Universe Pageant. Be sure to tune in on Monday night at 9 p.m. on NBC--it will be an amazing show.
2010-08-23 13:55:00,realDonaldTrump,It's going to get hotter in Las Vegas tonight! Watch the Miss Universe Pageant tonight on NBC at 9 p.m. I'm looking forward to being there!
2010-08-24 14:07:00,realDonaldTrump,"Congratulations to Miss Mexico, Jimena Navarrete, our new Miss Universe 2010, and congratulations to everyone for a fantastic show."
2010-08-26 20:42:00,realDonaldTrump,The Miss Universe Pageant raked in some great ratings!  A great job by everyone.
2010-08-30 19:50:00,realDonaldTrump,Spent a beautiful weekend golfing at Trump National Golf Club Westchester and Trump National Golf Club Bedminster.
2010-08-31 20:00:00,realDonaldTrump,Went to the Yankees game last night with Bill O'Reilly--we had a great time watching the Yankees win!
2010-09-01 21:38:00,realDonaldTrump,I'll be on The Late Show with David Letterman tonight--be sure to tune in for a great show. 11:30 pm on CBS.
2010-09-02 16:27:00,realDonaldTrump,Check out Serta's Counting Sheep (and me) at the Trump International Hotel New York http://bit.ly/SertaRm9
2010-09-02 16:37:00,realDonaldTrump,Check out Trump International Hotel & Tower New York --spectacular! http://www.trump.com/Hotel_Collection/Trump_New_york/Trump_New_York.asp
2010-09-07 16:06:00,realDonaldTrump,I was invited by Caroline Wozniacki to sit with her family in her special box during her match at the U.S. Open yesterday. She's fantastic!
2010-09-07 18:07:00,realDonaldTrump,There's a lot going on at the Eric Trump Foundation ...  http://bit.ly/9rJ0sn
2010-09-09 16:29:00,realDonaldTrump,"Coming up soon: The two hour premiere of The Apprentice. Next Thursday, September 16th, at 9  pm on NBC.    http://bit.ly/bMB4CH"
2010-09-14 20:52:00,realDonaldTrump,"""I am very happy to have the civilian version of """"The Apprentice"""" back on the air this fall. There will be excitement as well as opportunity."""
2010-09-15 13:43:00,realDonaldTrump,Eric did a great job with his Eric Trump Foundation annual charity outing. I'm proud of him.  http://bit.ly/c1y3c3
2010-09-16 15:25:00,realDonaldTrump,Don't forget to tune in tonight for the two hour premiere of The Apprentice. 9 pm EST on NBC. We're all in for a fantastic new season!
2010-09-17 18:55:00,realDonaldTrump,"""Be sure to tune in for Melania's second QVC show for """"Melania Timepieces & Jewelry""""  tonight, live from 9-10 pm on QVC http://bit.ly/aDdvKj"""
2010-09-23 18:22:00,realDonaldTrump,Don't forget to tune in tonight at 10 p.m. on NBC for another action packed episode of The Apprentice.   http://bit.ly/bnAuAv
2010-09-24 20:27:00,realDonaldTrump,See the new sizzle reel for The Apprentice   http://bit.ly/ax8nah
